#{"t_start": 1704805458.8457677, "env_id": "None"}
r,l,t
-103.731959,1001,5.019651
-15.555267,1001,9.841657
-89.442097,1001,14.622231
-139.756356,1001,19.484934
-13.906691,65,20.065109
-25.161499,69,22.108226
-184.553374,1001,27.181848
-51.952735,1001,32.296944
-41.184199,272,33.883574
-88.234292,1001,39.633178
135.093689,1001,47.72314
-203.963615,1001,54.4774
-37.560429,406,57.231663
-111.736466,1001,63.67093
-68.023157,1001,69.847803
-69.57629,1001,78.195937
-73.979124,793,83.545967
28.347135,1001,90.080531
-58.629365,630,94.275509
-88.000787,1001,100.609702
-139.267047,1001,109.057814
-76.036338,595,113.201353
26.822204,1001,120.061645
-56.481664,503,123.587492
-173.211207,1001,130.149471
-20.321562,1001,138.757965
-19.285558,1001,145.367609
-87.427813,1001,151.965677
-124.630609,1001,158.653981
-30.889613,1001,166.988813
-51.881609,1001,173.696447
-112.099653,1001,180.382802
-39.46352,410,183.317954
44.633603,1001,191.855851
-33.540892,272,193.910093
-54.616872,596,198.203536
9.097889,417,201.191966
45.037772,1001,207.761701
-152.813623,1001,214.634354
-28.104684,1001,223.473815
-74.657793,1001,230.167021
11.161053,1001,237.036848
-63.183034,1001,243.847428
-144.119928,1001,252.472057
-49.047108,524,256.154937
-138.945445,1001,262.891797
-104.742085,1001,269.648772
-22.153429,1001,276.386144
-88.197315,537,282.177267
-182.656044,1001,289.04565
-36.588297,1001,295.734654
-132.876444,1001,302.358225
-139.69454,1001,310.89513
-8.808665,1001,317.638288
-77.582411,1001,324.24242
-33.128336,1001,330.723223
10.433972,1001,337.282137
-13.91721,1001,345.743965
-107.21282,849,351.435191
-0.395808,1001,357.891654
-26.402828,1001,364.404258
80.601123,1001,372.664015
-68.865504,1001,379.222922
-116.078363,1001,385.745039
-1.725594,467,388.918749
-147.640242,1001,397.375846
-118.180392,1001,404.068227
-98.05298,1001,410.732082
-106.86115,1001,417.394132
-17.199114,1001,425.967075
23.535941,159,427.311259
-65.234565,1001,434.08489
-62.621267,1001,440.819195
22.762487,412,443.556128
-20.778553,1001,449.809172
-13.359226,1001,457.867022
-9.642678,75,458.708113
-40.53657,1001,465.493663
-30.443589,1001,472.183182
-145.927239,1001,478.785158
-72.497603,666,485.211744
85.223759,1001,492.115893
-33.135743,1001,498.834688
22.066064,1001,505.53471
60.822133,1001,514.054219
-87.329438,1001,520.698274
9.536452,1001,527.591184
-8.133936,139,528.822187
72.496619,1001,535.452389
-29.513104,243,537.321308
-160.878526,1001,545.905343
-14.315565,1001,552.817424
-122.060678,1001,559.561927
-84.507854,1001,566.138243
-105.188392,1001,574.619741
-9.664607,169,576.007854
-42.559547,1001,582.599518
17.854308,1001,588.927351
-81.350016,1001,595.313828
-92.906387,1001,603.574827
-122.476951,1001,610.168962
-75.872635,1001,616.639081
-1.584871,1001,623.061835
-61.936264,1001,631.643354
2.465889,1001,638.450822
-61.855271,1001,645.221753
-92.270646,1001,651.86523
-13.843677,1001,660.293698
-54.466383,1001,666.918947
-23.862631,1001,673.712705
-55.799263,1001,680.213264
