#{"t_start": 1704623288.2483068, "env_id": "None"}
r,l,t
363.873185,1001,4.883998
-661.765277,1001,9.403358
401.819999,1001,13.983903
-460.775266,1001,18.653194
15.425258,1001,24.596784
147.798523,1001,29.155138
-772.432497,1001,33.682625
-492.238067,1001,38.350602
245.035021,1001,44.949981
-335.871414,1001,49.736964
134.027561,1001,54.405094
-412.110436,1001,59.263703
-605.239666,1001,65.146123
446.695025,1001,69.676789
-877.570137,1001,74.301942
-811.375482,1001,78.918679
-112.192914,1001,84.717702
-141.384303,1001,89.333237
-714.793879,1001,93.971246
566.520774,1001,98.675303
-472.018754,1001,104.982666
-161.558571,1001,109.499155
154.614521,1001,114.032126
-3.791651,110,114.783579
-100.627878,1001,119.299101
-274.382791,1001,124.926042
-139.49506,1001,129.481025
583.84121,1001,133.993479
-431.148857,978,138.459568
-272.313574,152,139.384343
293.47213,1001,145.029608
-468.587216,1001,149.575305
-176.473227,153,150.493417
111.702116,378,152.380566
-499.250504,867,156.340385
281.597159,1001,160.895461
-403.677882,317,163.698476
91.830446,1001,168.272039
-184.234317,567,170.978989
-590.779485,1001,175.526349
15.657277,1001,180.03496
-92.912886,389,183.054434
443.156008,1001,187.574662
-647.848883,1001,192.087398
-463.076088,1001,196.617342
179.843164,1001,201.204847
50.583585,222,203.531153
152.768999,1001,208.121382
-546.516431,1001,212.632175
-787.549111,1001,217.204624
379.256874,521,219.681276
-103.530605,1001,225.414189
-161.773387,1001,230.001716
-563.264149,1001,234.542142
-530.100601,1001,239.072333
286.899435,234,240.340413
-766.493783,1001,245.993913
-587.241583,1001,250.757464
-436.507214,298,252.454117
-560.153977,1001,257.332969
-254.823484,1001,262.253551
-787.357352,1001,268.120161
-494.060961,1001,272.923943
-862.112195,1001,277.625169
208.577766,1001,282.342337
-319.714795,1001,288.208472
131.171349,1001,292.792362
233.280338,1001,297.401744
179.370931,1001,301.909887
-797.489998,1001,307.567895
-361.799084,1001,312.104653
-168.892634,1001,316.667001
-781.249777,1001,321.253072
354.781246,1001,326.959193
-181.620009,1001,331.491531
-392.16499,1001,336.016963
-183.022487,1001,340.519574
123.146438,1001,346.254278
105.157279,1001,350.789002
-51.458619,310,352.376637
67.849182,1001,356.952599
40.145241,170,357.942921
237.094596,1001,363.667094
65.907158,1001,368.245778
273.198969,1001,372.800412
-211.599635,1001,377.370731
-226.343728,1001,381.989484
-119.407176,1001,387.668657
-910.317234,1001,392.199196
-291.219026,720,395.576191
164.352848,1001,400.168767
116.412429,1001,405.934898
686.625874,1001,410.492084
239.955853,1001,415.077423
-397.416679,429,417.173067
-318.489459,1001,421.776332
-197.422162,1001,427.498981
-5.521315,1001,432.0679
-80.577481,1001,436.671743
-446.08783,1001,441.295416
-10.227069,1001,446.967805
-468.19045,405,448.946775
-125.63842,321,450.591064
-321.380496,493,452.936029
84.125224,1001,457.506461
-50.188638,1001,462.033648
-490.813194,1001,467.681668
-51.099954,497,470.047189
-393.683216,1001,474.655486
95.341814,1001,479.282314
-291.647969,1001,485.027094
-204.942123,710,488.313545
-192.314315,141,489.162547
-345.080036,1001,493.705816
2.505558,526,496.204856
-197.954772,1001,500.763839
161.586384,1001,506.514229
124.481026,1001,511.047942
155.560454,574,513.731512
-1.153713,1001,518.287345
-162.292722,1001,523.989658
-228.25625,642,526.975871
-246.421257,675,530.107558
-166.468585,223,531.348406
98.879041,1001,535.876412
277.617199,457,538.067614
-153.508554,1001,542.594744
213.829836,890,547.749108
163.605936,202,548.850331
-325.056561,1001,553.351593
-34.879998,1001,557.953322
-497.099416,909,562.1087
-98.728936,1001,567.775713
-798.146277,1001,572.271339
-39.54493,735,575.66666
-125.345196,256,577.002978
-45.062024,714,580.284034
-648.478907,1001,586.03505
65.951165,355,587.799049
-26.937819,683,590.939103
693.217065,974,595.362386
61.300568,1001,599.905344
184.410517,1001,605.606879
144.982872,1001,610.162706
-143.266659,84,610.797934
-338.553409,364,612.619542
-354.242311,1001,617.19135
-687.967471,1001,621.68403
65.583784,1001,627.370402
111.327877,313,628.972513
-153.569874,1001,633.574725
99.056762,251,634.927214
-480.322164,1001,639.498766
-120.140093,473,641.777062
-411.889261,507,645.325785
-183.878716,183,646.393841
346.700988,787,650.070869
-410.043002,851,653.983903
-685.202432,1001,658.554744
-27.37856,622,661.489816
-105.004121,480,664.992164
-685.550758,1001,669.531816
-153.687128,995,674.056453
-237.807491,511,676.523107
113.642306,1001,681.116081
-187.838851,1001,686.813905
185.492578,357,688.590114
-39.527831,118,689.360077
-399.412257,850,693.243338
-205.445519,242,694.54256
-706.10883,1001,699.060749
197.229557,660,702.095214
345.463504,235,703.361486
-559.45898,1001,709.016126
-643.830895,1001,713.562888
-272.367059,210,714.727082
-513.735495,708,718.01302
102.051672,440,720.166065
-57.732075,288,721.67311
-111.769645,439,723.810157
