#{"t_start": 1704607312.9313998, "env_id": "None"}
r,l,t
-84.507035,1001,5.019333
-69.89721,1001,10.062692
-8.576526,349,11.992008
-44.155957,1001,17.061025
-38.854095,1001,23.664241
-48.851772,1001,28.491915
-50.669189,1001,33.320761
-45.271149,1001,38.295293
-93.314922,1001,45.056031
-158.206823,1001,50.162371
-0.401719,142,51.140511
-120.673932,1001,56.558647
-105.715197,1001,62.077772
-115.25241,1001,69.237832
-30.222869,1001,74.538156
-103.899627,1001,79.836362
-76.629728,1001,85.071669
-45.287555,1001,93.010756
-87.985079,1001,99.007498
-62.889472,1001,105.050676
-80.462319,1001,111.380368
-159.888491,1001,119.490931
-50.572676,1001,125.533776
-36.102394,1001,131.071723
-30.691438,1001,136.986144
-80.333712,1001,143.317659
-112.888447,1001,151.438385
-127.673465,1001,157.535864
-113.737273,1001,163.318024
-107.972429,1001,169.172766
-115.803723,1001,177.357472
-29.259987,1001,183.562902
-95.702667,1001,189.86604
-31.353209,1001,195.700728
-36.968585,1001,203.864903
-74.97925,1001,209.994522
-49.833341,1001,216.441974
-37.325645,1001,222.699272
-83.059889,1001,230.581089
-44.344748,1001,236.817215
-23.98102,1001,242.56081
-38.236393,1001,248.397756
-1.405394,236,250.127732
-86.997149,1001,257.664585
-72.671127,1001,263.44465
-42.702143,1001,269.07215
-26.36913,1001,274.697771
-27.49022,1001,282.219292
-68.451934,1001,287.681323
-25.803667,516,290.775135
-54.024463,1001,296.715625
-32.372812,652,300.93711
-45.887561,711,307.513252
-22.578784,1001,314.46773
-24.293362,663,318.933339
-42.833092,1001,325.340361
-58.739152,1001,333.418094
-25.776985,1001,339.210973
-22.614967,1001,345.041706
-5.400665,266,346.802504
-14.070435,440,349.640589
-20.967745,1001,355.467089
-15.556037,1001,363.312522
-11.650773,766,367.695124
-25.33034,495,370.716159
-41.395058,1001,376.554576
-17.659551,1001,382.18658
-7.402628,1001,389.793171
-22.324401,455,392.849971
-18.068542,1001,398.532504
-10.45389,550,401.844342
-39.521246,863,406.746685
-45.201969,868,413.480449
-24.709934,453,416.087211
-15.259586,640,420.058211
-36.597633,774,424.478675
-5.598034,508,427.664934
-33.098821,1001,433.400889
-2.313816,294,437.722331
-6.593984,774,442.351189
-15.935165,407,444.948467
-18.296052,721,449.092642
-38.727662,1001,454.824852
-5.580939,969,460.816585
-3.08163,396,465.042498
-24.393499,523,468.643186
-16.68516,1001,474.698032
-3.873402,197,476.217677
-26.36312,1001,482.918947
-16.472203,397,485.225993
-7.587546,255,486.952249
-13.235716,1001,494.336761
-8.343273,496,497.415338
1.08476,190,499.048403
-4.551492,336,501.32912
-14.659247,838,506.474285
-20.265828,689,510.681494
-39.149136,651,514.76734
1.74421,172,516.040732
-6.338314,143,517.141218
