#{"t_start": 1704580350.3836365, "env_id": "None"}
r,l,t
-63.704434,1001,4.838654
-61.502418,1001,9.666204
-41.143776,1001,14.538568
-78.930851,1001,19.469927
-71.515225,1001,25.497828
-42.007053,1001,30.336618
-52.300728,1001,35.088847
-20.056564,1001,39.794155
-89.161041,1001,45.937351
-16.748706,1001,50.831709
-7.545907,170,51.883002
-28.822398,1001,56.812791
-44.241416,1001,61.632433
-35.589553,1001,67.531184
-35.774867,1001,72.303375
-33.365445,1001,77.840115
-26.123261,1001,83.529973
-154.707755,1001,90.743572
-82.194381,1001,96.351337
-99.924414,1001,102.16781
-110.159637,1001,107.799917
-105.339179,1001,115.247513
-32.667286,1001,120.80475
-61.762763,1001,126.435331
-26.060271,1001,131.878133
-34.769291,673,137.733207
-170.406899,1001,143.789525
-92.549362,1001,149.490199
-27.802815,1001,154.773074
-101.744113,1001,161.627984
-45.117893,935,166.674237
-121.681655,1001,171.874577
-46.436587,1001,177.04537
-47.804425,1001,183.935974
-24.888213,1001,189.301253
-1.15768,97,190.144219
-78.511122,825,194.420085
-5.627549,313,196.180403
-105.017651,1001,201.008766
-42.378401,1001,207.669848
-44.888592,1001,213.001409
-133.718935,784,217.198118
0.34803,145,218.295354
-23.939518,1001,223.724789
-27.377976,1001,231.103154
-6.248194,338,233.080443
-35.275955,1001,238.449611
-48.13144,1001,243.935549
-10.155037,264,245.60129
-37.703772,1001,250.847826
-8.742721,464,253.440656
-38.258164,880,259.68369
-84.030511,950,264.67847
-0.805426,94,265.447063
-45.536345,1001,270.787054
0.61639,203,272.074704
-10.546062,334,273.968567
-1.104205,293,275.665572
-8.581325,569,280.501262
-5.458181,178,281.724245
-9.35137,710,285.566517
-14.200354,1001,290.833621
-0.861712,163,292.058249
-10.621132,505,294.762387
-20.481533,539,297.722827
-24.479776,865,304.124405
-6.892633,1001,309.266572
-54.976628,1001,314.435652
-59.458542,1001,319.545893
-1.629423,436,322.190384
-37.045006,715,327.738163
-1.655096,61,328.33661
-0.771765,191,329.594383
-31.046119,515,332.471308
-9.827757,309,334.340871
-12.555952,611,337.688121
-2.473016,161,338.757451
-9.162865,399,340.893584
-5.468162,391,343.075706
-18.305196,781,347.192122
-3.682511,157,348.215455
-3.337138,157,349.268909
-3.98481,339,353.244202
-28.647327,803,357.843775
-1.740475,151,358.928406
-16.811092,445,361.52145
1.371474,435,364.306202
1.222706,253,365.752182
-21.738331,555,368.585353
2.002889,212,369.872313
-11.053149,376,371.972245
-4.842029,471,374.315835
-1.477083,311,377.487309
-6.292347,744,381.206568
-2.007323,218,382.527368
-1.219092,347,384.491023
-17.827103,468,386.917876
-5.920217,328,388.879644
-2.176373,210,390.199121
-5.601165,283,391.790223
0.207741,175,392.937809
-1.189337,368,394.97369
-47.687765,969,401.056318
-5.321871,449,403.460084
0.683139,392,405.564751
-4.483702,247,407.215632
-2.188113,180,408.346392
-7.847923,389,410.657655
-2.383793,165,411.770493
-5.005509,265,413.29384
3.024726,335,415.241637
-2.550168,235,416.609228
-0.488514,107,417.368519
0.407972,338,419.185138
-8.542706,295,420.737995
-13.148623,423,423.05301
-0.553959,32,423.482786
-4.185087,256,426.622693
-1.896662,195,427.842757
0.133521,205,429.238504
-0.914943,138,430.213088
-0.22853,75,430.895989
0.320419,254,432.563074
-4.905199,223,434.166795
0.846414,198,435.523034
0.056392,180,436.772984
1.220594,221,438.436512
-0.1876,172,439.723061
0.386556,112,440.572666
0.246963,115,441.412632
-4.038555,391,443.814694
1.517169,96,444.583032
0.627711,223,445.972682
-1.063749,96,446.782629
2.878297,210,448.117796
-3.666898,258,449.703979
-8.694975,227,451.129043
-1.708026,136,452.185042
-0.532256,138,453.261586
3.783495,190,456.369444
-0.378287,158,457.502818
0.708807,72,458.184574
-0.416368,89,458.983833
-1.23699,212,460.357468
-3.737718,140,461.337901
-3.626859,449,464.061445
-3.628773,174,465.239686
-0.146129,241,466.775186
-0.478259,50,467.319234
1.920939,146,468.383856
-2.659792,191,469.746345
-6.103495,414,472.284508
-0.694771,167,473.450913
-3.50115,468,476.228655
-1.359269,214,477.64595
1.398607,133,478.690871
-1.241028,103,479.493029
-0.227564,87,480.213013
0.157058,202,481.535494
-1.882836,171,482.750589
4.35609,232,485.951275
-5.018058,196,487.254262
-1.615383,116,488.179724
-9.364775,355,490.14142
-0.993852,50,490.658826
-0.315085,99,491.45945
0.058216,41,491.962294
1.193607,91,492.700984
-0.832486,59,493.281056
-1.871531,146,494.254476
-1.119808,65,494.835218
-2.795687,152,495.934317
-2.615304,108,496.735346
-0.286808,67,497.363569
-0.763664,109,498.180172
1.355044,179,499.294224
-1.73793,212,500.566306
0.856127,227,501.986613
0.59914,96,502.769306
-0.454884,49,503.291182
2.269353,83,503.952135
-1.049708,119,504.822325
3.20192,254,506.299238
-9.096205,284,507.910131
-1.981611,127,508.787086
0.836112,105,509.611736
1.104694,106,510.500546
-0.433995,82,511.261653
-0.168817,45,511.794812
1.155054,78,512.481141
0.425243,129,513.375619
-4.285998,169,514.448591
-0.387154,152,517.287589
-3.281499,136,518.217705
0.476864,79,518.878986
2.684869,242,520.318414
0.116809,74,520.939887
-1.493373,117,521.784618
-0.480255,72,522.405764
-0.026909,58,522.974971
0.177162,86,523.657355
-1.585506,116,524.501647
-0.299239,86,525.265986
0.821692,70,525.932837
-0.165262,172,527.047154
0.902964,117,527.894821
-0.744756,156,528.919846
-1.338559,210,530.201387
0.611465,83,530.883606
0.110548,194,532.077432
-1.047983,153,533.131923
-0.129422,76,533.904484
-1.3853,132,535.01544
-1.054491,65,535.60772
-11.039077,300,537.302215
-0.801272,40,537.779212
-1.218391,62,538.348824
0.908352,87,539.042418
0.738671,121,539.910833
-0.987172,180,541.071628
-1.216182,78,541.714729
0.853664,96,542.46785
3.528551,160,543.506906
-0.44884,90,544.225461
-0.325721,24,544.624957
-0.469808,122,545.498578
-1.505522,135,546.408801
-0.307731,109,548.973907
1.719316,122,549.870608
0.02905,118,550.697515
1.871632,128,551.587017
0.098666,58,552.153197
-0.537215,21,552.540959
1.204815,120,553.434624
-1.197167,75,554.066656
-0.805466,93,554.777121
0.280694,69,555.391926
-3.883935,99,556.160539
2.730777,174,557.361237
-0.062983,71,558.016234
-0.781456,108,558.844589
-3.42065,110,559.706198
-0.722429,104,560.535079
0.238531,147,561.509363
-1.254054,98,562.269169
-0.221913,47,562.761505
1.635774,251,564.283307
-0.225654,50,564.823035
-1.043644,134,565.730644
-2.011527,86,566.4182
-2.74192,173,567.538399
-0.340883,65,568.132056
-0.329884,59,568.69119
-1.208041,96,569.452793
0.162282,39,569.915787
-1.072626,37,570.370322
-0.820816,75,571.011417
-0.379695,92,571.757814
-2.779034,155,572.860564
-1.810896,87,573.580039
-2.073782,88,574.283794
-0.458024,47,574.792426
-1.352349,84,575.453161
-0.205596,58,575.988958
0.554798,88,576.689082
-0.011548,87,577.374398
0.467688,69,577.95758
-0.301812,54,578.493959
-1.178829,56,579.030857
-0.012176,60,579.624152
0.679426,126,580.557173
0.872177,107,583.137931
1.078537,73,583.820732
-1.251276,61,584.412831
-2.824171,226,585.727315
-0.209217,84,586.413933
2.025108,89,587.114496
-0.157447,80,587.755764
0.526845,62,588.322465
3.799082,227,589.660351
1.357383,105,590.423978
-0.916091,55,590.96503
-1.624698,80,591.658271
0.56305,89,592.382278
2.328087,77,593.024828
0.27301,77,593.655855
-0.645642,102,594.436271
1.692493,72,595.093692
1.278595,60,595.684792
-0.932951,165,596.765627
1.949094,181,597.878487
0.196905,67,598.465515
1.001175,71,599.070529
-0.461798,84,599.743033
-0.140038,108,600.545424
0.151996,39,600.999493
0.338308,58,601.557306
6.994165,260,603.154442
0.120949,59,603.765486
-2.503008,229,605.405053
-0.016479,59,605.97823
-5.365439,253,607.518228
0.64274,81,608.229204
0.938643,104,609.051744
-0.588621,46,609.567904
0.741048,135,610.534489
0.71989,207,611.804744
0.150347,76,612.454789
-0.933632,122,615.096185
0.244754,87,615.770666
-0.313633,71,616.382925
-0.88503,56,616.932599
0.750104,76,617.560468
2.747295,79,618.218972
-0.041895,97,619.003418
-1.657237,132,619.959952
0.56478,96,620.697661
-0.460671,84,621.372006
-0.995574,70,621.984237
-0.326498,35,622.424103
0.6519,125,623.302359
-0.782086,82,623.976687
0.57941,58,624.541613
-0.6411,140,625.515465
1.785338,166,626.676089
-1.02669,105,627.507487
-2.837432,95,628.229305
-0.869528,90,628.935483
1.062491,97,629.657345
0.399359,66,630.238158
-1.02636,81,630.928318
1.302232,77,631.618564
