#{"t_start": 1704289406.5730932, "env_id": "None"}
r,l,t
-1200.239016,602,2.096944
-1475.576962,779,4.480091
-366.974344,208,5.315586
-2193.112114,1001,8.231673
-971.209949,549,9.958252
-1898.61806,877,12.581959
-1805.15456,1001,16.747312
-321.312831,178,17.492478
-578.081,298,18.550861
-1056.156711,599,20.436694
-462.515134,230,21.326942
-257.109349,129,21.945732
-677.558421,325,23.079506
-349.50873,166,23.792552
-470.148947,228,24.67103
-751.052482,434,26.099758
-744.196761,307,27.183623
-1924.35211,1001,31.341416
-1189.265318,577,33.148193
-92.403003,54,33.569112
-1043.026056,610,35.466222
-902.934727,440,36.926174
-1830.586709,1001,39.918111
-1764.387121,1000,44.034796
-1702.251871,802,46.442611
-1299.678111,635,48.414823
-1101.946814,683,50.511849
-908.792823,488,52.078572
-900.633317,458,53.567211
-1659.769032,881,57.411614
-569.337854,256,58.362199
-1217.751583,642,60.394473
-1809.250639,1001,63.353287
-842.82329,432,64.784523
-682.943218,405,66.140128
-1871.230062,1001,69.091754
-1286.474923,620,72.225265
-1042.382688,587,74.062819
-614.387752,305,75.15399
-1912.905915,1001,78.093957
-965.51725,488,79.687559
-947.7329,542,81.415529
-1033.908387,560,83.20192
-1916.187839,1001,87.343342
-1570.286747,822,89.812133
-743.134145,388,91.113545
-200.46564,112,91.688983
-1689.52121,871,94.308329
-807.311055,418,95.706149
-1614.045939,956,99.751952
-870.326111,418,101.155341
-982.613594,505,102.793447
-562.74663,415,104.214201
-1778.860887,1001,107.193072
-1804.465616,938,110.017589
-1824.04009,1001,114.20233
-854.405804,575,116.006754
-234.835574,133,116.644009
-267.407992,142,117.300772
-1096.781464,669,119.3755
-272.85712,131,120.00407
-827.172687,524,121.703086
-334.525607,192,122.484102
-313.802309,156,123.166714
-346.565505,216,124.035295
-1576.127584,892,126.69094
-550.033116,302,128.943753
-1746.646025,1001,131.895851
-242.645968,138,132.532684
-359.216236,228,133.410657
-1219.021877,613,135.322402
-683.485198,443,136.782716
-145.100187,76,137.247096
-495.756216,240,138.157669
-166.319645,110,138.732329
-330.308246,160,139.43319
-1644.526194,1001,143.574347
-929.729833,527,145.242791
-343.203442,179,145.985446
-1354.039209,702,148.131222
-689.900613,387,149.434476
-2108.27334,1001,152.352021
-606.763678,309,153.448122
-154.458064,82,153.941544
-575.526566,313,155.052347
-1672.730746,907,158.914261
-605.955697,276,159.92626
-530.864191,257,160.882272
-712.446557,423,162.270636
-361.193884,172,163.00044
-788.196924,491,164.594187
-38.628965,26,164.929167
-1277.936761,721,167.134488
-1776.039616,925,169.883476
-677.613626,315,172.241677
-292.411035,164,172.947785
-580.541508,313,174.064763
-527.138853,328,175.215674
-821.210169,382,176.5218
-1175.247715,778,178.858754
-1838.950158,992,181.788454
-400.801034,221,182.652659
-1103.719984,651,184.677677
-738.658156,384,187.2106
-264.841586,157,187.915117
-488.014909,229,188.804207
-430.755087,236,189.699493
-451.005936,269,190.69951
-175.266335,101,191.235525
-575.896477,317,192.356094
-513.424872,318,193.476304
-450.291607,245,194.394269
-375.19496,214,195.238848
-148.270432,87,195.74007
-1395.272657,831,198.205939
-1560.064481,1001,202.309474
-155.846983,93,202.833375
-792.763052,497,204.435062
-696.333721,395,205.760356
-143.40516,81,206.240866
-235.966592,118,206.815441
-1073.186989,539,208.531612
-203.552883,110,209.093887
-562.702231,281,210.112282
-1038.33646,601,211.992793
-252.736116,150,212.666606
-536.899074,269,213.662293
-1714.23976,1001,217.823969
-337.482914,165,218.537142
-1715.16854,1001,221.499593
-1076.352884,657,223.54641
-1756.153752,1001,226.512712
-539.079233,269,227.500066
-157.581615,89,228.012298
-711.12848,413,229.386818
-661.879804,341,230.547555
-1689.16187,1001,234.729016
