#{"t_start": 1704281210.0784667, "env_id": "None"}
r,l,t
-37138.272955,149,0.818635
-32320.58442,189,1.510508
-108393.124355,401,2.686573
-14268.07494,173,3.345935
-2002.909444,67,3.761769
-31967.263752,149,4.36135
-211554.842892,986,6.847383
-7244.043488,24,7.172047
-15941.906004,82,7.622906
-27012.834534,97,8.109014
-78265.398234,345,9.1621
-79336.892542,272,10.044837
-106838.533581,422,11.273129
-89819.731178,381,12.404268
-234119.042582,613,15.201513
-78795.12428,390,16.334869
-55727.061826,153,16.9443
-272012.177035,843,19.115455
-43233.707156,188,19.801241
-318357.925285,1001,22.302946
-243343.926377,818,24.401763
-34604.948998,110,24.913195
-32220.550536,134,25.475671
-216730.407062,660,28.397649
-31330.658899,307,29.360747
-330721.564348,1001,31.898361
-39737.889748,191,32.595075
-63151.735104,180,33.261875
-44113.833341,237,34.04434
-89949.387123,438,35.325585
-150142.338223,388,36.472916
-51760.989047,278,37.363892
-86814.30667,315,38.365809
-132484.691409,430,40.792266
-8377.431495,86,41.243523
-279580.403844,1001,43.732969
-113133.189372,537,45.198254
-143743.576039,719,47.078884
-151928.67882,333,48.09114
-71345.750534,289,49.020407
-165107.069997,667,50.832556
-57613.694423,332,51.861573
-15758.515786,79,53.398223
-141777.414983,481,54.806135
-16396.68426,112,55.32263
-29769.066901,174,55.978727
-14508.692847,109,56.485776
-59290.331118,216,57.271942
-48046.314426,265,58.121229
-124643.330247,541,59.598426
-5765.622879,89,60.056977
-60316.84995,222,60.811772
-65369.953082,261,61.645907
-6644.151888,61,62.053003
-78333.574896,411,63.222818
-105146.920524,296,64.146452
-16116.866947,85,64.600662
-54667.404293,249,65.426016
-25955.760823,81,65.874707
-183646.754065,705,68.856269
-56900.109209,259,69.723377
-98055.453794,400,70.903187
-31895.077869,169,71.553759
-71726.804086,498,72.931606
-169868.576137,772,74.972537
-40771.69162,217,75.734408
-169329.737254,854,77.955377
-19996.201941,155,78.56822
-261252.792326,1001,82.203407
-166587.11784,765,84.164395
-71314.766189,450,85.441184
-64270.156662,307,86.414523
-34826.56472,149,87.024326
-99549.412975,512,88.476342
-96219.421006,198,89.176349
-32991.571751,195,89.877784
-62324.369748,279,90.781183
-281379.417917,1001,94.448635
-204402.368095,673,96.235308
-119849.061938,504,97.649539
-118494.783111,659,99.378931
-37589.977712,203,100.097828
-34455.884603,145,100.681232
-173285.4799,1001,103.171058
-28367.000141,134,103.738262
-101424.292245,351,104.787209
-130772.938238,549,107.41023
-38036.99052,235,108.188441
-18860.020278,66,108.601906
-51020.466799,214,109.344074
-70037.099836,257,110.182727
-125096.39673,156,110.795331
-37046.233732,167,111.437781
-146218.63554,954,113.839059
-97970.214901,272,114.701294
-94366.029659,397,115.845194
-64220.35816,321,116.832334
-34423.715138,337,117.835069
-79404.789318,292,119.851851
-60853.458407,268,120.701668
-7332.40791,85,121.154135
-111498.010259,520,122.564879
-68666.211198,154,123.198489
-217581.439879,747,125.159802
-25584.721352,106,125.645464
-36658.101737,158,126.263791
-147684.69372,657,128.011715
-19291.644771,138,128.581927
-27096.214014,148,129.185778
-27698.073666,94,129.675776
-48357.751176,168,130.326864
-12146.639697,103,130.817063
-38069.213852,178,131.473133
-27495.49554,104,131.994733
-244736.525428,912,135.496446
-37756.518469,247,136.336287
-57983.354475,185,137.009305
-156086.979495,417,138.235606
-51161.640515,285,139.129295
-75098.559042,351,140.176642
-39299.031364,101,140.66911
-50208.025832,312,141.627757
-2099.353398,48,142.025918
-102850.910612,329,143.02592
-103350.465513,339,144.044736
-43685.539087,270,144.910775
-85627.355401,311,145.887175
-15391.1581,95,146.357847
-144718.018548,625,149.110887
-217107.319838,716,150.986276
-45853.961872,129,151.543485
-176467.024824,645,153.256887
-128669.186485,390,154.398906
-63617.031639,354,155.452061
-268893.373247,811,157.556991
-139493.571463,444,158.817198
-116617.800738,393,161.072872
-24001.313319,153,161.691937
-18024.302154,150,162.294371
-182117.851186,898,164.552877
-48541.851803,237,165.350267
-40560.34617,126,165.910302
-112849.455675,402,167.07922
-83374.618721,510,168.487807
-82496.040362,332,169.503826
-120821.09521,497,170.883236
-45275.054477,134,171.439581
-72814.280474,453,172.731754
-24543.879218,99,173.212407
-94109.100906,425,175.641587
-95157.387258,414,176.843997
-12572.090422,77,177.271383
-74886.956037,199,177.978519
-111264.616634,457,179.283708
-27972.079433,99,179.77741
-274644.172756,882,182.009831
-70386.533759,223,182.776862
-39656.167884,323,183.762421
-14457.775915,88,184.214537
-70428.761619,266,185.077099
-14391.189856,77,185.520831
-50902.828887,137,186.081346
-24986.690651,86,186.542382
-54215.104854,234,187.364505
-93769.583942,369,189.60048
-15165.29109,148,190.194878
-60077.281924,299,191.148594
-101750.400415,421,192.399204
-152530.006083,610,194.283899
-77351.199772,254,195.158849
-92414.471803,369,196.347775
-49001.180461,121,196.942825
-244238.771696,1001,200.009356
-18397.576575,122,200.593481
-30898.030329,142,201.215072
-20747.607434,63,201.643817
-17825.464656,83,202.134829
-138061.750755,558,205.000843
-287327.260992,1001,207.707711
-10491.104152,61,208.115638
-26040.749177,120,208.668937
-20474.621016,101,209.199821
-1678.544749,16,209.508654
-37282.185485,161,210.158623
-103279.53481,442,211.500801
-33582.162525,135,212.106249
-36507.76399,119,212.683692
-54157.782359,219,213.509525
-68508.245187,272,214.440951
-67586.72572,192,215.25659
-19143.44728,182,216.01865
-46443.832832,340,217.135717
-56485.886801,336,218.199431
-30060.553763,83,218.661622
-131964.652371,511,221.420805
-204736.308723,589,223.175908
-103083.82333,493,224.632227
-44446.834511,243,225.502227
-14160.28181,72,225.956343
-109898.134881,489,227.447626
-95817.069638,353,228.582201
-60701.960211,251,229.459705
-106628.371316,302,230.471209
-67799.890993,267,231.435206
-1784.709276,18,231.75463
-12981.081055,55,232.166611
