#{"t_start": 1704286857.1671188, "env_id": "None"}
r,l,t
-268.552445,862,2.7407
-70.466426,356,3.949297
-282.908478,603,5.821781
-8.089157,100,6.357311
-23.862589,224,7.220304
-182.003068,392,8.553451
-239.552215,702,10.661852
-97.132688,246,11.576544
-379.983979,1001,15.66045
-8.802242,112,16.227298
-236.288613,747,18.46064
-234.571319,826,20.901866
-267.642871,848,23.38084
-26.327065,122,23.971875
-61.16701,440,25.38433
-162.137564,402,26.738524
-25.58469,260,28.918532
-148.672232,541,30.599661
-448.944556,1001,33.466043
-49.13699,337,34.613266
-480.605896,1001,37.492125
-168.567908,840,39.971353
-180.242461,1001,44.050202
-80.971887,407,45.378828
-356.227754,704,47.495215
-105.796191,617,49.383272
-426.75883,717,51.508618
-44.598536,228,52.366719
-15.768131,136,52.99086
-19.235755,170,53.695832
-9.287832,91,54.201771
-1.585066,26,54.544758
-22.368552,257,55.486784
-20.318767,172,57.406281
-214.664355,723,59.59124
-292.934198,488,61.126279
-25.590057,152,61.78659
-83.360464,594,63.582118
-88.594307,535,65.260523
-41.420942,184,66.01738
-183.557294,412,67.359729
-234.267693,608,69.219458
-5.207035,80,69.70204
-162.539706,332,72.091755
-28.54794,196,72.869189
-26.535381,315,73.953463
-30.639991,242,74.854234
-34.797725,239,75.734359
-6.630378,90,76.238469
-35.742481,335,77.375069
-13.932515,179,78.106263
-111.06684,490,79.666408
-24.156358,196,80.460297
-41.229151,214,81.321244
-10.779929,118,81.925873
-97.920659,331,83.091537
-61.359635,574,84.877913
-239.119341,1001,88.972198
-20.949001,134,89.61204
-13.386693,84,90.118702
-212.677749,763,92.422306
-185.955212,529,94.081813
-7.951088,94,94.601869
-79.163963,332,95.769322
-11.102887,151,96.447287
-50.341451,401,97.785031
-13.889131,178,98.532344
-124.45498,395,99.863284
-127.296586,602,102.9112
-163.435796,762,105.205254
-232.837299,836,107.7031
-7.629746,82,108.184236
-258.670407,890,110.830884
-3.776873,45,111.226384
-166.721252,393,112.548476
-192.28565,427,113.951003
-13.964151,150,114.619846
-326.5319,712,117.963
-485.014321,1001,120.8651
-150.582267,733,123.046334
-538.17206,957,125.89884
-21.862157,192,126.676331
-16.48931,91,127.18373
-18.334745,176,127.921261
-120.854012,556,129.668962
-58.848777,265,131.843167
-15.076483,134,132.457936
-4.355464,67,132.909399
-32.478119,210,133.734202
-45.720849,321,134.843244
-89.292667,277,135.841454
-156.214962,559,137.584305
-20.20415,169,138.300321
-11.359881,123,138.893984
-206.491143,1001,141.83319
-346.504089,975,144.731087
-47.935733,238,146.820661
-56.413249,374,148.083029
-41.628254,301,149.186559
-38.477419,228,150.06801
-76.361988,570,151.860724
-75.701283,312,152.975622
-81.73486,388,154.269335
-3.124978,48,154.671756
-15.553974,94,155.198613
-70.536993,388,156.502168
-304.332286,624,158.431127
-81.026926,250,159.357568
-81.859354,257,160.308861
-15.07843,150,162.172019
-35.122424,238,163.087823
-12.50795,142,163.72459
-5.451027,53,164.12882
-244.998597,931,166.892258
-37.811804,228,167.756783
-337.886293,766,170.066938
-347.079601,1001,172.940824
-65.829828,296,173.976318
-25.787241,204,174.795956
-89.945394,290,177.058376
-134.647594,568,178.810298
-7.435583,112,179.363832
-378.225843,586,181.190731
-44.003017,215,182.03658
-448.024539,1001,185.048466
-55.301754,158,185.905275
-79.820702,365,187.319267
-6.216713,99,187.905985
-66.403891,332,190.230191
-6.78058,74,191.303355
-26.495759,108,193.36324
-6.108277,64,194.452099
-282.400037,1001,204.587351
-14.339606,94,205.427328
-188.30054,359,207.013289
-222.812313,461,208.914941
-9.859097,72,209.477218
-122.20372,369,211.045538
-118.500575,392,212.793247
-50.855641,221,213.848329
-134.292966,341,215.387143
-59.063676,255,216.623358
-22.259514,211,217.749097
-14.840419,157,218.677231
-346.496869,762,223.884494
-294.457672,664,226.552999
-17.961674,111,227.403038
-119.058608,245,228.754467
-3.482188,59,229.351576
-70.967386,312,230.795571
-1.530701,26,231.319927
-147.374723,426,233.214293
-19.060448,185,234.298342
-59.873085,208,235.357685
-60.080069,393,237.145826
-9.640448,74,237.823285
-44.454454,319,239.238462
-90.790421,223,240.503427
-43.080635,239,241.664422
-144.098056,330,244.974836
-264.552593,785,248.216421
-36.972071,247,249.490569
-61.99273,277,250.869753
-19.895784,98,251.523605
-119.701328,275,253.004921
-22.945491,172,253.995671
-61.148672,489,256.109629
-47.992576,309,257.543411
-153.285659,532,259.797321
-102.144796,377,261.488892
-7.955696,95,262.285595
-10.944929,90,262.963254
-8.647639,98,263.713127
-106.734299,308,266.831291
-7.375487,66,267.358329
-33.17306,155,268.263539
-20.635386,121,269.063179
-32.167726,190,270.125801
-159.923662,416,272.03348
-28.473118,208,273.238309
-26.916091,146,274.181609
-25.814723,119,274.904165
-300.165306,661,277.767522
-43.57581,162,278.721676
-61.9858,299,280.249638
-36.978219,184,281.247191
-251.704332,574,283.976874
-35.289916,226,285.186442
-23.824001,124,286.212026
-36.208789,338,287.939431
-20.270184,246,290.841888
-106.501088,486,293.672205
-162.757938,333,295.598229
-1.846356,32,296.112494
-163.662137,323,298.085268
-8.657223,87,298.850205
-137.511873,342,300.657895
-1.380603,23,301.161947
