#{"t_start": 1704465075.6408708, "env_id": "None"}
r,l,t
-129.320255,129,0.833025
-200.615692,237,1.732754
-751.119625,829,4.082742
-172.888637,161,4.750689
-381.516886,347,5.979486
-766.604611,597,7.792963
-718.227981,1001,10.603929
-637.628929,519,12.208709
-402.554799,249,13.119664
-110.860682,137,15.042149
-757.498689,1001,17.838682
-175.375228,207,18.65166
-598.203437,511,20.346447
-607.951765,888,22.908317
-201.998911,162,23.656678
-528.957973,701,25.732174
-256.333158,232,26.613132
-329.473115,190,27.36464
-716.904581,635,30.57357
-259.163452,155,31.244286
-802.953093,1001,34.102292
-216.162748,212,34.916587
-217.440499,236,35.811795
-693.11227,627,37.632544
-428.071407,435,38.984121
-279.867928,215,39.790332
-363.424893,352,40.922988
-405.477291,514,43.680303
-70.535346,123,44.273535
-266.826812,230,45.146952
-567.748016,591,46.870498
-380.415705,731,48.953133
-529.87945,1001,51.635584
-313.686894,327,52.681533
-178.569315,161,53.335519
-840.615433,1001,57.2436
-942.090531,972,59.929994
-456.185505,432,61.293251
-458.483111,390,62.558722
-875.101253,828,64.920376
-719.864297,581,66.664003
-235.123203,171,67.377173
-371.47136,543,70.261201
-545.121136,1001,73.062564
-182.805444,214,73.867145
-94.438012,86,74.358452
-613.578524,722,76.445573
-608.879732,856,78.889457
-997.059474,1001,81.624947
-235.689986,276,83.873918
-745.649296,947,86.592672
-514.182817,629,88.478538
-33.765614,23,88.833837
-564.853285,706,91.067077
-456.651954,526,92.704615
-633.395375,669,94.749601
-59.874039,52,95.160866
-510.105774,547,98.181568
-214.198323,193,98.972631
-321.414322,410,100.327137
-390.284035,458,101.728041
-445.977201,716,103.793397
-664.148283,1001,106.588334
-364.465895,504,108.137083
-979.195814,977,112.050293
-160.804976,261,113.008732
-138.839293,160,113.702907
-137.837288,124,114.314955
-94.815677,132,114.922439
-233.422492,363,116.129594
-731.87162,1001,118.87852
-410.003792,669,120.795275
-884.181164,1001,123.584634
-326.401238,331,125.984656
-163.231713,188,126.78522
-280.983593,473,128.35136
-560.959511,1001,131.237915
-766.454496,1001,134.07975
-736.048438,721,136.204886
-199.862096,303,137.237304
-319.279934,343,139.594468
-459.127878,785,141.840585
-965.090952,1001,144.652665
-597.908461,593,146.450024
-385.297704,389,147.704722
-202.210249,261,148.634236
-99.99587,67,149.082575
-240.188667,476,150.568433
-236.073775,392,153.10355
-482.350424,770,155.388136
-215.468583,873,157.895476
-128.900785,186,158.651649
-214.75686,192,159.400278
-113.178693,203,160.192894
-403.824638,518,161.779957
-161.841885,279,162.765665
-338.434941,370,163.972107
-373.929489,613,165.776632
-335.677017,412,168.507638
-279.828851,183,169.241539
-797.889139,880,171.750594
-110.033688,97,172.313054
-782.588498,1001,175.208962
-777.223394,1001,178.067893
-227.035589,354,179.244517
-203.999176,246,181.363671
-787.890526,1001,184.123528
-359.196432,335,185.232783
-580.193803,717,187.406282
-664.259302,1001,190.292261
-309.037486,535,191.874588
-206.689227,200,192.62892
-172.442777,166,193.320149
-466.212537,428,195.856928
-434.579901,314,196.924312
-114.380294,215,197.743659
-273.873122,550,199.365294
-293.894139,260,200.266659
-659.39939,1001,202.97131
-783.469213,1001,205.739422
-301.904487,426,207.078724
-321.90754,428,209.55929
-467.682665,517,211.086869
-262.759656,222,211.904188
-133.014958,101,212.423181
-433.530068,622,214.278828
-133.590633,132,214.877394
-659.148521,1001,217.647405
-545.072236,505,219.141008
-491.012541,458,220.594357
-911.748937,1001,224.687804
-929.549615,1001,227.450623
-145.469551,150,228.129737
-210.768552,256,229.049921
-226.920247,512,230.649526
-49.811485,133,231.266734
-177.262677,138,231.883443
-128.591141,144,232.569868
-443.59111,423,233.951964
-845.771176,1001,238.045046
-405.390922,220,238.864631
-588.158458,449,240.292135
-446.595027,566,241.958998
-83.828986,263,242.872748
-830.758281,807,245.111156
-92.985475,384,246.339994
-658.331162,1001,250.404776
-700.330196,1001,253.299984
-999.090215,1001,256.129812
-423.121971,621,258.011566
-288.009729,351,259.160854
-593.176738,668,261.095237
-351.789485,593,264.018981
-540.48494,863,266.396583
-80.251277,59,266.805369
-480.151269,647,268.676337
-653.834298,733,270.751927
-817.352126,1001,273.477717
-743.588489,1001,277.357189
-637.419263,1001,280.025633
-570.131493,748,282.105123
-401.152525,412,283.380357
-311.924232,380,284.564118
-91.477505,134,285.161615
-250.124504,358,286.310805
-76.004307,59,286.751052
-702.332448,1001,290.703082
-116.367513,215,291.486699
-351.130325,551,293.092721
-306.125212,337,294.162387
-355.643443,375,295.41178
-180.685682,231,296.240545
-596.5165,796,298.451803
-281.154863,349,299.570626
-652.441675,1001,303.628311
-387.394588,461,305.026224
-135.732727,290,305.996108
-253.351927,396,307.255869
-325.849679,396,308.501388
-431.440472,444,309.897918
-632.770864,1001,312.643782
-330.385939,417,313.943405
-126.944882,128,314.620696
-265.473171,276,315.717641
-528.356448,980,319.727521
-961.117491,884,322.229996
-791.478059,1001,324.975261
-211.602511,390,326.218827
-139.776786,190,326.944891
-81.214334,150,327.574103
-393.566424,432,328.926674
-699.726301,1001,332.910324
-344.653222,362,334.072594
-179.710264,151,334.69979
-863.078615,1001,337.382649
-151.217175,166,338.058181
-148.793874,252,338.935799
-301.810171,582,340.631632
-252.863428,323,341.683259
-748.635394,916,345.45226
-700.367797,764,347.556511
-153.866174,318,348.595691
-287.512624,350,349.713179
-43.738474,45,350.12348
-148.448853,272,351.06642
-693.537462,1001,353.795775
-357.230488,474,355.252445
-678.029254,1001,359.128054
-590.430031,752,361.204282
-454.437789,612,362.928349
-338.832978,539,364.502301
-243.190529,210,365.258792
-208.686567,284,366.233118
-584.138264,842,368.849983
-422.228518,582,371.98723
-615.605755,1001,374.766712
-113.878319,84,375.252523
-231.820916,229,376.105017
-799.425399,1001,378.856676
-888.656921,929,381.47726
-178.145693,205,382.245875
-656.19543,1001,386.153316
-289.315891,407,387.400934
-110.530636,112,387.941117
-200.316997,329,389.015196
-239.260435,288,389.961992
-278.063698,268,390.873192
-250.736037,402,392.161053
-668.690878,836,394.471426
-88.547036,192,395.191498
-186.69348,203,395.95963
-110.390648,93,396.497607
-170.239431,264,398.757745
-211.05804,414,400.044333
-558.99663,1001,402.758556
-715.985071,912,405.289793
-310.399854,1001,408.03266
-174.840866,432,409.437626
-482.630611,658,412.724609
-200.183915,344,413.876198
-511.362896,1001,416.624027
-179.506737,447,418.119703
-300.539037,496,419.597362
-177.674062,294,420.585131
-424.166203,1001,423.271135
-515.706598,970,427.197277
-439.644846,729,429.299593
-638.19313,1001,432.061544
-386.579533,959,434.736077
-770.802059,861,438.378576
-160.63248,280,439.357947
-685.256378,1001,442.101788
-615.856041,923,444.700746
-379.688043,678,446.702599
-329.832622,300,447.73218
-290.090837,627,451.077462
-327.638588,790,453.311994
-71.509423,57,453.727759
-263.390035,395,454.98863
-607.725144,1001,457.766295
-42.971712,111,458.309937
-189.878832,355,459.517405
-302.045869,745,461.757558
-37.230776,57,462.183982
-309.316532,556,463.891309
-126.641636,225,466.057551
