#{"t_start": 1704561858.2474809, "env_id": "None"}
r,l,t
-1114.019709,988,2.861944
-307.480007,530,4.442412
-596.422076,694,6.446769
-45.382294,159,7.1023
-580.175906,645,8.891389
-305.764662,502,10.327907
-451.126446,470,11.698853
-632.529472,1001,15.449352
-491.866146,586,17.084737
-625.420198,621,18.840795
-221.132099,414,20.089028
-507.330644,619,21.824014
-312.562753,309,22.837822
-56.475886,139,23.447188
-229.362735,201,24.194404
-296.374977,406,26.553392
-43.538051,296,27.511615
-232.780187,360,28.63401
-988.993966,1001,31.267586
-112.752683,181,31.968085
-197.051656,294,32.935999
-170.993127,275,33.864449
-154.160731,201,34.602312
-660.437415,1001,37.230452
-339.203539,495,39.786689
-118.194734,61,40.201477
-131.61253,450,41.534343
-251.70543,251,42.39009
-508.006332,668,44.232941
-323.65051,412,45.480502
-106.568524,137,46.072249
-699.929236,731,48.085098
-66.601314,67,48.521208
-232.106418,733,50.507829
-171.840984,356,51.618633
-204.392461,453,54.079269
-395.914344,631,55.837535
-569.937693,1001,58.49093
-200.294729,488,59.918676
-220.036346,345,61.004232
-113.956288,463,62.37337
-785.829325,904,65.939649
-421.868608,332,66.996035
-393.293254,738,69.028657
-106.311215,130,69.602305
-707.915624,1001,72.249396
-276.056632,311,73.258297
-294.613568,365,74.39141
-65.649057,80,74.851413
-378.253989,474,76.243035
-266.841169,464,77.619173
-636.885614,1001,81.369838
-807.341682,1001,83.997253
-70.247867,88,84.474882
-318.840859,406,85.708412
-759.908773,708,87.633337
-576.326707,605,89.318415
-396.07954,579,92.090578
-436.949924,405,93.311137
-292.312769,329,94.366411
-390.994029,719,96.348762
-506.625229,533,97.882451
-121.123665,158,98.520443
-805.232678,1001,101.145296
-111.714545,109,101.666739
-388.932192,729,104.793321
-345.243275,381,105.962784
-626.029356,931,108.435322
-284.212233,467,109.821772
-105.42068,258,110.702483
-377.468347,495,112.139715
-910.13952,1001,114.782757
-14.102194,22,115.09991
-311.755645,964,118.81422
-66.118335,109,119.347019
-758.090478,809,121.525814
-258.074715,338,122.586005
-189.466148,231,123.403172
-173.507688,336,124.448275
-100.229524,120,124.990664
-83.128685,220,125.7875
-147.269082,177,126.476131
-46.084212,78,126.928703
-54.619302,203,127.673587
-437.401732,930,130.130108
-311.270041,373,132.449473
-50.430117,92,132.936679
-129.925746,153,133.570064
-976.340355,1001,136.21296
-144.457607,142,136.823946
-46.272465,56,137.233295
-936.054327,1001,139.863027
-392.784492,782,141.981154
-602.300179,632,144.868375
-109.202669,227,145.675672
-508.760933,771,147.747402
-338.08842,411,148.985927
-381.642096,512,150.460179
-677.70392,1001,153.11103
-151.377193,293,154.068074
-539.063198,1001,157.836993
-682.348621,906,160.262206
-726.916692,1001,162.908934
-219.156305,373,164.043841
-135.994357,150,164.664673
-164.678754,351,165.764686
-259.319974,668,167.603986
-47.569098,52,167.995556
-14.626498,62,168.414012
-500.471858,1001,172.195929
-683.104698,1001,174.817918
-101.068664,255,175.676261
-621.571888,952,178.189056
-77.232382,111,178.721145
-128.191181,223,179.522905
-435.966165,690,181.433305
-233.781259,415,183.867101
-700.26636,1001,186.566836
-270.801577,388,187.756055
-402.848549,682,189.613357
-414.97308,639,191.399334
-244.519953,276,192.309477
-327.512161,413,193.543231
-128.570822,136,194.123478
-323.459677,366,195.250685
-271.727491,464,197.72778
-712.871198,997,200.336365
-35.892984,42,200.696733
-561.583955,801,202.845833
-343.47638,591,204.508662
-504.147138,848,206.737036
-48.030709,94,207.220126
-125.888966,197,207.954016
-102.521734,190,209.80529
-86.206926,57,210.212262
-137.509989,264,211.11218
-722.558916,1001,213.758515
-37.877131,238,214.600116
-159.192754,523,216.133501
-339.483554,453,217.496335
-31.449235,59,217.898933
-162.838069,522,219.417014
-213.402712,181,220.109425
-105.853272,289,221.046858
-53.126231,92,221.529392
-219.97456,556,224.267186
-195.861965,228,225.078435
-126.759497,183,225.782548
-334.557057,497,227.232579
-191.335078,304,228.223111
-736.102778,1001,230.872727
-28.045131,188,231.585408
-44.057384,186,232.290778
-120.295265,566,233.90395
-264.575998,527,235.432494
-329.707064,519,238.048931
-740.662438,1001,240.688053
-43.660252,86,241.167333
-139.718081,441,242.476794
-33.969176,50,242.867181
-41.589618,45,243.247006
-158.300762,227,244.051056
-680.718843,1001,246.738438
-95.544929,133,247.329778
-290.936736,561,248.919407
-813.320223,1001,252.710274
-92.512808,165,253.364916
-42.141725,55,253.752723
-87.82185,287,254.696059
-436.083219,801,256.87749
-254.038374,796,259.126556
-103.413619,282,260.18094
-245.046017,774,262.532776
-128.589466,220,264.837919
-458.027877,639,266.815607
-63.661774,97,267.340111
-26.704809,75,267.812109
-43.6828,249,268.754553
-166.841568,230,269.650274
-195.816725,178,270.381422
-153.079257,177,271.127153
-101.043894,286,272.131746
-344.839902,479,273.696208
-174.573236,387,275.003419
-58.608706,85,275.501028
-76.437475,115,276.0823
-110.917653,200,276.89401
-96.578637,199,277.685739
-509.000149,704,281.109828
-172.031585,400,282.396156
-289.629208,489,283.88274
-295.544193,512,285.417209
-148.442201,177,286.122085
-31.714177,107,286.654457
-32.104464,135,287.257415
-173.079968,234,288.091237
-178.487295,154,288.736115
-648.479468,1001,291.515856
-211.406802,143,292.131923
-25.105259,68,292.565281
-54.055771,155,293.215058
-130.949584,201,293.976279
-57.632708,103,294.495129
-52.44201,72,294.934761
-63.956897,80,296.659526
-125.157908,189,297.384907
-49.271764,224,298.188825
-18.592149,172,298.861189
-85.66715,121,299.394524
-217.6771,194,300.098464
-84.994457,85,300.553705
-239.429627,495,301.973588
-354.704561,571,303.593871
-207.150563,508,305.054418
-299.327592,1001,307.717964
-221.843002,279,308.637845
-287.572143,1001,312.381278
-709.904751,1001,314.988702
-113.39878,207,315.762544
-326.628982,756,317.812322
-349.1851,923,320.264833
-87.435283,341,321.326866
-145.670871,449,323.787912
-140.505218,120,324.340365
-166.831014,156,324.971553
-357.072461,326,326.013424
-472.666699,1001,328.642215
-125.779168,122,329.188848
-89.582195,163,329.83978
-670.026984,1001,332.465429
-383.315025,843,334.697965
-27.54431,120,336.365043
-346.222446,635,338.135946
-25.926264,56,338.534841
-183.997227,341,339.602212
-20.100487,32,339.947089
-286.727915,482,341.360086
-446.699298,564,342.958662
-205.518429,353,344.071807
-252.034599,716,346.018771
-289.8539,587,347.682866
-155.289847,394,350.029624
-52.792034,104,350.53624
-149.697426,312,351.551974
-113.907286,296,352.520294
-451.15879,727,354.489179
-192.555566,556,356.07258
-94.864015,195,356.796304
-166.476814,239,357.620572
-60.675158,114,358.15667
-19.050665,40,358.517266
-371.342018,788,360.644684
-195.651915,597,363.447084
-150.842125,341,364.521479
-153.26494,264,365.407161
-145.791715,327,366.439987
-101.751548,165,367.10216
-24.849058,101,367.603297
-70.089994,86,368.07992
-326.899142,858,370.375943
-145.789503,347,371.460122
-18.653086,49,371.842902
-60.833674,110,372.361994
-334.337739,499,373.793498
-272.09451,726,375.744365
-148.646201,300,377.854961
-49.233957,291,378.813656
-69.638708,137,379.408045
-176.605058,308,380.393167
-70.102622,211,381.165737
-166.360634,378,382.335784
-21.344006,100,382.830201
-149.194198,281,383.772396
-150.181671,280,384.699294
-146.542251,415,385.943128
-90.492491,236,386.767352
-443.79269,499,388.225844
-47.524184,117,388.768141
-90.255692,275,389.688431
-441.162537,567,392.430751
-506.665729,1001,395.069055
-80.432584,103,395.590382
-71.115751,138,396.18917
-656.824596,853,398.448999
-118.536797,256,399.323224
-8.731655,31,399.668882
-19.253804,22,399.990478
-92.874262,285,400.930836
-176.644867,541,402.46839
-126.823655,302,403.447687
-34.473414,82,403.913912
-15.198727,184,404.621737
-61.331031,107,405.145845
-228.166756,285,407.200493
-30.471062,63,407.610033
-112.092807,136,408.19599
-78.532809,348,409.280188
-169.200674,327,410.334475
-19.531063,49,410.723084
-125.015043,214,411.50631
-91.440143,154,412.142589
-48.826431,63,412.561963
-14.565532,60,412.966704
-94.429209,134,413.55588
-151.860807,386,414.739245
-645.423263,953,417.237493
