#{"t_start": 1704888107.8573146, "env_id": "None"}
r,l,t
-3338.15348,414,1.572469
-1426.837717,89,2.081572
-2001.151686,177,2.815899
-1262.153795,137,3.456088
-1707.828735,281,4.487458
-4175.313121,198,5.294577
-6129.950658,601,7.194215
-1433.295852,214,8.055033
-1157.255212,212,8.977738
-1874.553186,162,9.674525
-2690.098729,148,10.417529
-12003.39978,1001,13.387668
-6037.861757,347,14.567717
-1192.773908,297,19.007715
-225.079094,17,19.345925
-7999.403323,589,21.338365
-5779.267096,519,23.134103
-10798.280229,1001,26.758379
-13710.232708,839,29.731693
-12975.491499,818,32.578309
-1045.140276,59,33.163171
-13780.231413,996,40.139602
-4161.079503,324,41.489524
-4484.872399,493,43.33922
-825.171744,57,43.914611
-19871.343963,1001,47.72188
-5148.30793,405,49.077277
-891.660775,85,49.616312
-12349.799742,702,52.112332
-4232.716968,215,56.383608
-4732.801872,251,57.369203
-8277.153407,353,62.733371
-1328.246448,159,65.718526
-16110.125107,1001,83.721474
-1582.10374,266,88.343765
-6889.847059,732,100.567723
-4461.088483,235,104.501863
-3016.031099,225,108.435454
-13053.889753,956,128.997935
-11542.591765,1001,143.129657
-2671.760031,421,150.856016
-1912.763514,100,155.739975
-7551.269584,1001,172.840213
-2677.427256,138,176.060844
-7317.962807,382,182.83602
-4630.735352,438,189.598708
-1638.79236,501,202.84012
-7778.848977,490,209.938722
-7767.461937,580,218.527595
-3373.524142,301,224.177887
-5230.482489,373,232.431107
-946.174027,53,234.598153
-7482.120889,600,245.290994
-3312.203227,1001,258.801819
-2906.360462,302,264.004943
-2445.068122,384,275.722072
-2863.454731,271,280.392036
-2801.009218,192,283.952077
-6181.450873,941,297.441735
-11734.822496,805,312.349266
-2539.958893,223,317.820722
-9887.225544,566,326.521907
-635.149556,50,328.118051
-6711.651031,439,334.404211
-1946.902894,308,339.459951
-2222.090573,144,342.158006
-10179.840321,505,355.15803
-2855.050004,454,362.007726
-2913.161278,186,365.327899
-8978.683047,555,376.807822
-9966.816612,456,384.656763
-2527.774,157,388.802143
-18074.150865,1001,402.850512
-6360.941806,321,407.662175
-2861.722812,454,414.703874
-7965.704612,438,427.108146
-2517.283965,162,430.117676
-4766.460642,462,437.337756
-5689.582163,397,444.304155
-5329.970593,419,452.869115
-507.156748,38,454.560536
-806.851121,88,456.556076
-14181.410103,1001,471.585294
-11259.291419,677,480.901012
-1264.957957,235,484.794438
-7591.01998,474,497.654233
-2677.321593,184,501.230018
-1237.150593,126,503.783997
-3694.841087,228,507.922411
-1686.494737,286,512.502317
-1579.463192,154,515.416646
-3749.686862,454,523.92876
-824.664528,222,529.220123
-2047.463675,128,533.278143
-3113.604671,442,540.51558
-774.877695,44,542.093316
-6002.65053,483,549.366053
-9254.447383,744,560.348176
-2542.266084,945,579.388154
-576.336602,47,580.968111
-5946.784824,404,587.260552
-511.600399,90,589.712203
-887.612086,52,591.502246
-4313.428648,470,600.184428
-2645.718793,127,606.38822
-6603.075848,304,611.424163
-5461.303168,355,616.374442
-1824.207927,491,622.307993
-1377.763257,100,623.952461
-1337.395412,79,625.380481
-5837.111593,317,629.658678
-11348.205447,875,644.148111
-4380.278804,258,647.374248
-1945.871523,359,652.039855
-9631.150133,631,662.042535
-8511.912901,757,672.188165
-1120.255256,96,673.708125
-2219.879196,261,676.990253
-5209.890982,486,682.628035
-2839.893088,647,690.066627
-773.098079,55,691.228499
-1257.947507,323,694.772338
-5058.704326,517,706.328298
-4152.036397,299,710.465477
-6368.917946,616,720.030314
-7535.949336,835,731.532304
-2511.078358,263,734.749431
-1153.147475,73,736.318392
-5104.142665,306,740.078542
-1657.180587,280,743.313471
-3396.056678,638,749.728442
-4760.693917,337,761.043156
-1568.972667,117,764.004531
-1013.941863,197,766.944553
-4510.834848,278,771.692365
-5398.440756,535,778.244687
-1504.690526,97,780.608716
-1897.919726,144,784.854682
-1036.196986,94,788.192657
-1968.153092,96,790.446622
-4583.632872,398,794.892612
-8705.276234,880,805.150486
-2799.752524,229,808.272406
-8299.058786,784,816.163275
-3200.169452,926,832.64871
-4290.007956,319,836.281811
-1905.765081,277,840.455893
-1988.314478,174,847.354802
-5425.051773,659,854.908607
-6720.706848,354,859.503655
-737.734939,59,861.253438
-5212.006556,453,866.413397
-7228.97302,412,870.966129
-1203.362879,166,873.054783
-2971.250992,154,875.696385
-12673.50235,1001,892.488408
-3968.342263,270,895.522669
-1884.087079,338,905.809155
-495.865442,45,907.02869
-839.056369,167,909.946573
-1004.928021,144,912.250333
-7267.07837,527,920.02459
-2950.962829,340,925.75898
-3598.000939,625,935.420582
-11840.457942,1001,949.817634
-5727.380182,1001,970.290532
-6953.641392,1001,990.628688
-1123.055072,132,993.462485
-10807.155361,668,1003.426487
-4592.895754,570,1011.942958
-2432.149674,124,1014.547724
-5646.478844,374,1020.392531
-15959.445509,1001,1040.166893
-803.606131,128,1042.873229
-1812.543985,466,1053.466657
-8614.866718,443,1060.768682
-637.745019,69,1063.512517
-2736.784657,167,1067.355819
-6299.013545,507,1075.437742
-1880.503188,249,1080.277795
-2238.187357,388,1085.602554
-1875.821261,162,1088.439566
-1143.315293,190,1090.916996
-10474.01774,1001,1107.910614
-1876.224011,227,1111.282538
-13754.430028,870,1122.710302
-5803.120071,501,1130.258518
-1165.017807,140,1132.893095
-8308.894574,372,1137.535789
-807.06178,47,1138.670182
-6554.266214,294,1142.15133
-954.887244,70,1143.986897
-4466.612771,483,1149.835881
-3905.89638,421,1154.411872
-6381.931487,945,1170.454365
-3250.061889,419,1174.935537
-937.094266,98,1177.399475
-7825.020716,569,1185.073892
-1628.317989,245,1190.109006
-9760.965661,1001,1202.24191
-3361.19884,422,1207.123883
-4212.621032,1001,1224.208988
-1188.839639,293,1227.945244
-1657.848433,317,1231.865799
-1455.818007,238,1234.879809
-15233.591851,728,1244.050843
-1497.551004,370,1251.783025
-6083.098262,1001,1262.522813
-5420.725406,668,1269.832136
-4175.441535,270,1279.571933
-10116.190962,739,1287.800339
-13498.955507,1001,1298.330462
-2452.669645,143,1300.774765
-1952.205072,252,1305.121157
-15545.595154,1001,1319.543133
-1668.798336,96,1321.610978
-1598.219216,116,1323.536602
-5551.472332,342,1327.623929
-1663.645709,142,1329.59452
-2895.092498,497,1341.927426
-1126.650633,481,1347.637114
-10164.023646,524,1353.566679
-7277.412461,666,1360.885746
-2013.601805,409,1367.109768
-4904.728007,303,1374.703386
-860.207939,77,1376.234895
-2686.581851,266,1379.627566
-4611.793039,321,1383.73113
-1112.599685,288,1387.733687
-1526.976723,135,1389.691125
-2447.246288,236,1393.30929
-1506.594506,140,1401.433837
-2729.029693,381,1406.803481
-1963.183496,387,1411.868378
-2607.409385,178,1414.303159
-2903.522358,155,1417.00925
-437.761646,42,1418.184088
-770.799389,51,1419.683103
-14966.476093,1001,1435.543086
-7198.670839,1001,1447.053284
-9391.929689,851,1462.793895
-7103.069335,1001,1474.157887
-2686.077789,1001,1485.544195
-615.863642,62,1487.427997
-1111.640306,126,1490.478502
-1093.690663,105,1492.84218
-2892.391233,471,1500.788185
-9980.419095,1001,1511.753678
-674.622579,64,1513.194249
-9905.266364,1001,1530.172374
-868.166272,180,1533.140018
-2947.779586,294,1536.752169
-2090.250258,475,1541.793175
-4375.108885,406,1547.398235
-2761.963865,351,1552.478154
-4132.67796,546,1561.332899
-5446.063286,357,1565.571558
