#{"t_start": 1702896940.2977011, "env_id": "None"}
r,l,t
0.029952,222,1.090935
0.050503,227,1.972929
0.414325,798,4.366802
0.144029,253,5.345393
0.256243,623,7.343809
0.495253,489,8.97876
0.498124,1001,12.168799
0.274634,604,15.764645
0.059319,280,16.816073
0.022232,122,17.427531
0.066975,202,18.27505
0.03064,111,18.878982
0.540436,1001,21.946711
0.060843,188,22.778455
0.267477,569,24.766303
0.076594,97,25.363499
0.163168,281,26.436105
0.210682,926,29.278993
0.44713,1001,34.001698
0.060987,121,34.636363
0.00974,103,35.261228
0.359964,943,38.260446
0.291129,494,40.005406
0.469701,1001,43.337419
0.072337,245,44.404392
0.44325,1001,48.987439
0.081843,289,50.096475
0.048739,84,50.630502
0.190991,442,52.180448
0.077814,160,52.910651
0.059843,103,53.475338
0.146261,503,55.141867
0.016956,82,55.659627
0.12585,315,56.885018
0.05521,78,57.388653
0.367547,728,59.721971
0.022298,65,60.23322
0.240174,451,61.773124
0.56285,1001,66.284627
0.184228,191,67.132775
0.025997,256,68.16009
0.063796,349,69.398878
0.21744,600,71.345502
0.11,366,72.632732
0.04468,155,73.339155
0.248277,294,74.423141
0.161737,499,76.070936
0.07868,296,77.153993
0.136612,206,78.001495
0.073795,237,80.325886
0.054599,338,81.520727
0.175242,519,83.18488
0.035564,175,83.946714
0.354387,1001,86.946618
0.02128,87,87.46412
0.070695,158,88.186016
0.005683,35,88.579518
0.127996,341,89.788234
0.00886,56,90.213029
0.127354,669,92.302445
0.116512,579,95.94888
0.276212,1001,99.035397
0.020922,72,99.523315
0.545807,813,101.973373
0.063641,279,103.057607
0.033034,89,103.575651
0.466644,891,106.290629
0.165767,491,107.844535
0.075639,341,109.039195
0.111103,513,112.089501
0.092981,513,113.74841
0.091702,184,114.539049
0.146555,280,115.593389
0.41003,1001,118.562461
0.212728,479,120.095205
0.251688,493,121.697456
0.180836,549,123.491585
0.041287,398,126.216585
0.493107,450,127.710717
0.141546,483,129.266318
0.346314,438,130.711798
0.348487,1001,133.649179
0.173426,239,134.576377
0.101256,463,136.053068
0.026851,185,136.806799
0.468746,634,140.12273
0.14993,357,141.315257
0.213429,519,142.93057
0.193545,186,143.684192
0.218235,328,144.81794
0.083307,312,145.892718
0.097098,117,146.473723
0.264121,458,147.904548
0.241143,1001,150.764775
0.025325,57,151.189875
0.137069,146,151.849732
0.641053,915,155.734034
0.205554,560,157.461881
0.436565,642,159.378443
0.293469,539,161.059135
0.162093,231,161.924355
0.194392,398,163.229719
0.483456,807,165.58275
0.019487,143,166.221188
0.479295,1001,170.426004
0.014401,209,171.226901
0.222329,659,173.206743
0.125382,740,175.373738
0.414836,898,177.950447
0.018143,62,178.39066
0.083928,129,179.003505
0.068482,291,180.023752
0.255655,1001,184.124678
0.173642,258,185.065282
0.058962,416,186.417363
0.025924,128,187.015535
0.077824,248,187.943279
0.111779,410,189.256141
0.142503,307,190.313966
0.075447,131,190.911434
0.053126,107,191.477673
0.037184,125,192.075684
0.046019,141,192.704468
0.284747,628,194.591265
0.037038,82,195.063256
0.133329,362,196.288164
0.191364,438,198.974498
0.138015,182,199.696389
0.341624,682,201.843453
0.307238,1001,204.733388
0.273848,506,206.336694
0.10306,153,206.997732
0.072094,148,207.656732
0.052757,124,208.237538
0.049974,446,209.654748
0.08024,134,210.293173
0.059523,355,211.486531
0.102499,163,212.161896
0.188004,243,214.359232
0.103491,152,215.035148
0.023368,130,215.662745
0.381333,635,217.579631
0.417646,700,219.687386
0.118333,319,220.843157
0.041992,103,221.38482
0.222629,626,223.381765
0.268156,522,225.093432
0.491141,852,229.021571
0.020512,123,229.636344
0.205415,709,231.804404
0.040477,46,232.213544
0.553265,1001,235.285722
0.038014,65,235.720532
0.227841,420,237.094133
0.127132,557,238.805643
0.113154,131,239.43412
0.097528,355,240.613223
0.026027,61,241.054346
0.59578,1001,245.172316
0.031602,85,245.64447
0.069095,145,246.288767
0.036528,63,246.713659
0.36087,821,249.133984
0.075618,154,249.809625
0.046261,84,250.300725
0.202673,474,251.790127
0.103091,176,252.527664
0.003127,30,252.876239
0.299133,305,254.00724
0.10188,291,255.042789
0.128793,368,256.300535
0.350591,652,259.904882
0.090084,213,260.737375
0.115055,155,261.429251
0.037281,219,262.298588
0.510033,1001,265.177156
